,,Kitchener - Cambridge - Waterloo (Census Metropolitan Area)  Ontario,,,,,,Prairie Mountain Health (2013 Health Region)  Manitoba
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Deaths,    Pneumonia and influenza; deaths (per 100000 population),8.2,,9.9,,7.4,,,..,,..,,..
Deaths,    Bronchitis; emphysema and asthma; deaths (per 100000 population),2.5,,2.2,,2.5,,,..,,..,,..
Deaths,    All other respiratory diseases; deaths (per 100000 population),26.3,,36.1,,20.6,,,..,,..,,..
Deaths,  Unintentional injuries; deaths (per 100000 population),21.3,,30.8,,13,,,..,,..,,..
Deaths,  Suicides and self-inflicted injuries; deaths (per 100000 population),6.8,,10.5,,3.2,,,..,,..,,..
Deaths,  Human immunodeficiency virus [HIV] disease; deaths (per 100000 population),0.4,,,x,,x,,..,,..,,..
Deaths,Premature mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Personal Resources,Sense of community belonging (%),60,,61,,59.1,,75.8,,77.0,,74.7,
Personal Resources,Life satisfaction; satisfied or very satisfied (%),89.2,,91.6,,86.9,,91.7,,92.1,,91.3,
Living and Working Conditions,High school graduates aged 25 to 29 (%),89.8,,87.9,,91.6,,82.3,,79.0,,85.7,
Living and Working Conditions,Post-secondary graduates aged 25 to 54 (%),64.7,,63.1,,66.3,,54.7,,49.1,,60.0,
Living and Working Conditions,Unemployment (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Youth unemployment; aged 15 to 24 (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Long-term unemployment (%),4,,3.8,,4.3,,2.8,,3.0,,2.7,
Living and Working Conditions,Low income (%),11.6,,11.1,,12.1,,12.0,,10.4,,13.5,
Living and Working Conditions,Children aged 17 and under living in low income families (%),13.1,,13.2,,12.9,,14.4,,12.5,,16.3,
Community,Total population (%),100,,100,,100,,100.0,,100.0,,100.0,
Community,Large urban population centre population (%),93.2,,93.2,,93.2,,0.0,,0.0,,0.0,
Community,Medium population centre population (%),0,,0,,0,,28.6,,27.9,,29.2,
Community,Small population centre population (%),3.4,,3.4,,3.4,,22.0,,21.2,,22.7,
Community,Rural area population (%),3.4,,3.5,,3.4,,49.5,,51.0,,48.1,
Community,Population density (persons per km<sup>2</sup>),576.68,,,...,,...,2.49,,,...,,...
Community,Dependency ratio (%),,..,,..,,..,,..,,..,,..
Community,Youth; under 20 years; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Seniors; 65 years and over; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Aboriginal population (%),1.4,,1.4,,1.4,,15.9,,15.2,,16.6,
Community,Immigrant population (%),23.1,,22.8,,23.4,,7.1,,7.2,,7.1,
Community,1 year internal migrants (%),4.6,,4.6,,4.5,,5.1,,5.3,,4.9,
Community,5 year internal migrants (%),13.8,,14,,13.7,,15.5,,15.7,,15.4,
Community,Population living within a Metropolitan Influenced Zone (%),100,,100,,100,,34.6,,34.2,,35.0,
Community,Lone-parent families (%),15.8,,3.1,,12.7,,14.5,,3.2,,11.3,
Community,Visible minority population (%),16.2,,16.4,,16.1,,4.6,,5.3,,3.9,
Health System,Contact with a medical doctor in the past 12 months (%),,..,,..,,..,82.7,,78.8,,86.5,
Health System,Coronary artery bypass graft (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Percutaneous coronary intervention (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Cardiac revascularization (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hip replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Knee replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hysterectomy (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Inflow/outflow ratio - Overall (ratio),,..,,..,,..,,..,,..,,..
Health System,Mental illness hospitalization rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Mental illness patient days (per 10000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - General/family physicians (per 100000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - Specialist physicians (per 100000 population),,..,,..,,..,,..,,..,,..

Data quality symbols
.    Not available for any reference period
..   Not available for a specific reference period
...  Not applicable
E    Use with caution
F    Too unreliable to be published
x    Suppressed to meet the confidentiality requirements of the Statistics Act

Source: Statistics Canada.

How to cite: Statistics Canada. 2013. Health Profile.
Statistics Canada Catalogue no. 82-228-XWE. Ottawa. Released December 12 2013.
http://www12.statcan.gc.ca/health-sante/82-228/index.cfm?Lang=E
