,,Trois-Rivières (Census Metropolitan Area)  Quebec,,,,,,Prairie Mountain Health (2013 Health Region)  Manitoba
Topic,Characteristics,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Human Function,Functional health; good to full (%),,..,,..,,..,,..,,..,,..
Accessibility,Influenza immunization (%),22.6,,19.9,,25.2,,26.8,,23.9,,29.5,
Accessibility,Mammography (%),,...,,...,,..,,...,,...,,..
Accessibility,Pap smear (%),,...,,...,,..,,...,,...,,..
Accessibility,Regular medical doctor (%),79.8,,75,,84.7,,83.9,,80.8,,86.9,
Accessibility,Wait time for hip fracture surgery (Proportion with surgery within 48 hours) (proportion),,..,,..,,..,,..,,..,,..
Appropriateness,Caesarean section (proportion),,..,,..,,..,,..,,..,,..
Appropriateness,Patients with repeat hospitalizations for mental illness (%),,..,,..,,..,,..,,..,,..
Effectiveness,Ambulatory care sensitive conditions (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,30-day acute myocardial infarction (AMI) in-hospital mortality (rate),,..,,..,,..,,..,,..,,..
Effectiveness,30-day stroke in-hospital mortality (rate),,..,,..,,..,,..,,..,,..
Effectiveness,Self-injury hospitalizations (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,30-day obstetric readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day readmission - patients age 19 and younger (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day surgical readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,30-day medical readmission rate (%),,..,,..,,..,,..,,..,,..
Effectiveness,Potentially avoidable mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,Avoidable mortality from preventable causes (per 100000 population),,..,,..,,..,,..,,..,,..
Effectiveness,Avoidable mortality from treatable causes (per 100000 population),,..,,..,,..,,..,,..,,..
Continuity,30-day readmission rate for mental illness (%),,..,,..,,..,,..,,..,,..
Safety,Hospitalized hip fracture event rate (per 100000 population),,..,,..,,..,,..,,..,,..
Environmental Factors,Second-hand smoke; exposure at home (%),4.3,E,5.5,E,,F,5.2,,6.9,E,3.7,E
Environmental Factors,Second-hand smoke; exposure in vehicles and/or public places (%),14,,16.9,E,11.1,E,16.4,,20.4,,12.7,E
Deaths,Infant mortality (per 1000 live births),,..,,..,,..,,..,,..,,..
Deaths,Life expectancy at birth (years),,..,,..,,..,,..,,..,,..
Deaths,Life expectancy at age 65 (years),,..,,..,,..,,..,,..,,..
Deaths,Total; all causes of death (per 100000 population),547.1,,690,,447.1,,,..,,..,,..
Deaths,  All cancers; deaths (per 100000 population),184.6,,238.1,,153.5,,,..,,..,,..
Deaths,    Colorectal cancer; deaths (per 100000 population),21.1,,29.7,,14.8,,,..,,..,,..
Deaths,    Lung cancer; deaths (per 100000 population),60.6,,83.1,,46.5,,,..,,..,,..
Deaths,    Breast cancer; deaths (per 100000 population),,...,,...,26.8,,,..,,..,,..
Deaths,    Prostate cancer; deaths (per 100000 population),,...,21.1,,,...,,..,,..,,..
Deaths,  Circulatory diseases; deaths (per 100000 population),135.9,,172.3,,108.7,,,..,,..,,..
Deaths,    Ischaemic heart diseases; deaths (per 100000 population),69,,97.2,,48.6,,,..,,..,,..
Deaths,    Cerebrovascular diseases; deaths (per 100000 population),22.3,,22.8,,21,,,..,,..,,..
Deaths,    All other circulatory diseases; deaths (per 100000 population),44.7,,52.3,,39.1,,,..,,..,,..
Deaths,  Respiratory diseases; deaths (per 100000 population),50.8,,72.2,,39.7,,,..,,..,,..
Deaths,    Pneumonia and influenza; deaths (per 100000 population),14.6,,17.3,,12.9,,,..,,..,,..
Deaths,    Bronchitis; emphysema and asthma; deaths (per 100000 population),1.8,,2,,1.9,,,..,,..,,..
Deaths,    All other respiratory diseases; deaths (per 100000 population),34.4,,53,,24.9,,,..,,..,,..
Deaths,  Unintentional injuries; deaths (per 100000 population),19.5,,27.4,,12.3,,,..,,..,,..
Deaths,  Suicides and self-inflicted injuries; deaths (per 100000 population),20.7,,34.4,,7,,,..,,..,,..
Deaths,  Human immunodeficiency virus [HIV] disease; deaths (per 100000 population),,x,0,,,x,,..,,..,,..
Deaths,Premature mortality (per 100000 population),,..,,..,,..,,..,,..,,..
Personal Resources,Sense of community belonging (%),56.8,,55.8,,57.8,,75.8,,77.0,,74.7,
Personal Resources,Life satisfaction; satisfied or very satisfied (%),93.7,,94.3,,93.2,,91.7,,92.1,,91.3,
Living and Working Conditions,High school graduates aged 25 to 29 (%),85.8,,82.5,,89,,82.3,,79.0,,85.7,
Living and Working Conditions,Post-secondary graduates aged 25 to 54 (%),71.7,,70.8,,72.5,,54.7,,49.1,,60.0,
Living and Working Conditions,Unemployment (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Youth unemployment; aged 15 to 24 (%),,..,,..,,..,,..,,..,,..
Living and Working Conditions,Long-term unemployment (%),4.4,,4.9,,3.7,,2.8,,3.0,,2.7,
Living and Working Conditions,Low income (%),16.9,,14.9,,18.8,,12.0,,10.4,,13.5,
Living and Working Conditions,Children aged 17 and under living in low income families (%),14.5,,14,,15.1,,14.4,,12.5,,16.3,
Community,Total population (%),100,,100,,100,,100.0,,100.0,,100.0,
Community,Large urban population centre population (%),83.3,,82.5,,84.1,,0.0,,0.0,,0.0,
Community,Medium population centre population (%),0,,0,,0,,28.6,,27.9,,29.2,
Community,Small population centre population (%),3.1,,3,,3.1,,22.0,,21.2,,22.7,
Community,Rural area population (%),13.6,,14.5,,12.7,,49.5,,51.0,,48.1,
Community,Population density (persons per km<sup>2</sup>),145.78,,,...,,...,2.49,,,...,,...
Community,Dependency ratio (%),,..,,..,,..,,..,,..,,..
Community,Youth; under 20 years; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Seniors; 65 years and over; as a proportion of total population (%),,..,,..,,..,,..,,..,,..
Community,Aboriginal population (%),1.2,,1.1,,1.2,,15.9,,15.2,,16.6,
Community,Immigrant population (%),2.8,,2.7,,2.8,,7.1,,7.2,,7.1,
Community,1 year internal migrants (%),3.5,,3.6,,3.4,,5.1,,5.3,,4.9,
Community,5 year internal migrants (%),12.2,,12.5,,11.9,,15.5,,15.7,,15.4,
Community,Population living within a Metropolitan Influenced Zone (%),100,,100,,100,,34.6,,34.2,,35.0,
Community,Lone-parent families (%),16.9,,4,,12.9,,14.5,,3.2,,11.3,
Community,Visible minority population (%),2.4,,2.5,,2.3,,4.6,,5.3,,3.9,
Health System,Contact with a medical doctor in the past 12 months (%),,..,,..,,..,82.7,,78.8,,86.5,
Health System,Coronary artery bypass graft (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Percutaneous coronary intervention (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Cardiac revascularization (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hip replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Knee replacement (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Hysterectomy (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Inflow/outflow ratio - Overall (ratio),,..,,..,,..,,..,,..,,..
Health System,Mental illness hospitalization rate (per 100000 population),,..,,..,,..,,..,,..,,..
Health System,Mental illness patient days (per 10000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - General/family physicians (per 100000 population),,..,,..,,..,,..,,..,,..
Resources,Doctors rate - Specialist physicians (per 100000 population),,..,,..,,..,,..,,..,,..

Data quality symbols
.    Not available for any reference period
..   Not available for a specific reference period
...  Not applicable
E    Use with caution
F    Too unreliable to be published
x    Suppressed to meet the confidentiality requirements of the Statistics Act

Source: Statistics Canada.

How to cite: Statistics Canada. 2013. Health Profile.
Statistics Canada Catalogue no. 82-228-XWE. Ottawa. Released December 12 2013.
http://www12.statcan.gc.ca/health-sante/82-228/index.cfm?Lang=E
